ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
GO:0002536,respiratory burst involved in inflammatory response,4/1424,10/21338,0.4,5.9938202247191015,4.223769985401896,0.0029937098656717676,0.01629908704643518,0.011433824358876804,LBP/NCF1/SLAMF8/S100A9,4
GO:0044351,macropinocytosis,4/1424,10/21338,0.4,5.9938202247191015,4.223769985401896,0.0029937098656717676,0.01629908704643518,0.011433824358876804,CARMIL1/PYCARD/KCNN4/DOCK2,4
GO:0070292,N-acylphosphatidylethanolamine metabolic process,4/1424,10/21338,0.4,5.9938202247191015,4.223769985401896,0.0029937098656717676,0.01629908704643518,0.011433824358876804,PLAAT4/NAAA/PLAAT5/PLAAT3,4
GO:0070383,DNA cytosine deamination,4/1424,10/21338,0.4,5.9938202247191015,4.223769985401896,0.0029937098656717676,0.01629908704643518,0.011433824358876804,APOBEC3A/APOBEC3F/APOBEC3G/APOBEC3C,4
GO:0035458,cellular response to interferon-beta,7/1424,30/21338,0.23333333333333334,3.4963951310861425,3.6588535951488175,0.003033652350133861,0.016435746636684137,0.011529691185491757,OAS1/TRIM6/IRF1/MNDA/PYHIN1/STING1/IFITM2,7
GO:0045830,positive regulation of isotype switching,7/1424,30/21338,0.23333333333333334,3.4963951310861425,3.6588535951488175,0.003033652350133861,0.016435746636684137,0.011529691185491757,PTPRC/CD40/TGFB1/TNFSF4/TNFSF13/STAT6/CLCF1,7
GO:0070141,response to UV-A,5/1424,16/21338,0.3125,4.682672050561798,3.940501430050687,0.003084363277595582,0.016564616360860075,0.011620093413985092,TIMP1/EGFR/MMP3/MME/MMP1,5
GO:0070741,response to interleukin-6,11/1424,64/21338,0.171875,2.575469627808989,3.375342646151837,0.003163163492836369,0.016922160637521715,0.011870911048630771,SPI1/SELPLG/FOXA2/CHI3L1/IL6/YAP1/STAT4/LCN2/CAMP/SOCS3/FCAR,11
GO:0072376,protein activation cascade,6/1424,23/21338,0.2608695652173913,3.909013190034196,3.732582037955136,0.0032918780788401608,0.01750087317907541,0.012276878421867867,MVP/FBLN1/FN1/F13A1/THBS1/THBD,6
GO:1900119,positive regulation of execution phase of apoptosis,6/1424,23/21338,0.2608695652173913,3.909013190034196,3.732582037955136,0.0032918780788401608,0.01750087317907541,0.012276878421867867,CASP8/TNFRSF1A/FAP/ZC3H12A/DLC1/CXCR3,6
