Pathway,CellType,rho,p_value,p_adjust,Subtype
MesWoundHealing__cytokine.mediated.signaling.pathway,Mast cells,0.42579416282642085,7.40567983347604e-7,2.638273440675839e-6,ME
MesWoundHealing__adaptive.immune.response,Mast cells,0.34851612903225804,6.804988973336336e-5,1.8125437919634167e-4,ME
MesWoundHealing__positive.regulation.of.cytokine.production,Mast cells,0.38956682027649764,7.107407331966717e-6,2.132222199590015e-5,ME
MesWoundHealing__leukocyte.mediated.immunity,Mast cells,0.39560061443932404,4.966166691909282e-6,1.5213179235550535e-5,ME
MesWoundHealing__leukocyte.migration,Mast cells,0.4414377880184331,2.5629588753432913e-7,1.0006072321545727e-6,ME
Proliferation__chromosome.segregation,Mast cells,-0.25039016897081406,0.004857551542592859,0.008691052319830453,ME
Proliferation__nuclear.chromosome.segregation,Mast cells,-0.2036313364055299,0.02274354121729545,0.03307096554555716,ME
Proliferation__sister.chromatid.segregation,Mast cells,-0.18866359447004605,0.035109492069345064,0.04907541465581633,ME
Proliferation__nuclear.division,Mast cells,-0.22557296466973883,0.01142792552800203,0.018195300421679206,ME
Proliferation__mRNA.processing,Mast cells,-0.3216835637480798,2.5406428290948525e-4,5.886855335707585e-4,ME
Neural__central.nervous.system.neuron.differentiation,Mast cells,-0.3405960061443932,1.0166276599349981e-4,2.610260207941211e-4,ME
Neural__regulation.of.postsynaptic.membrane.potential,Mast cells,-0.3729892473118279,1.8365059777103163e-5,5.1822198380934665e-5,ME
Neural__synapse.assembly,Mast cells,-0.500184331797235,2.862958406880392e-9,1.569121434540215e-8,ME
Neural__regulation.of.synapse.structure.or.activity,Mast cells,-0.4406820276497695,2.701092250409799e-7,1.0264150551557235e-6,ME
Neural__axonogenesis,Mast cells,-0.43048847926267275,5.416272002730371e-7,1.979022462536097e-6,ME
MesWoundHealing__cytokine.mediated.signaling.pathway,T cells,0.5660399385560675,6.021537194811728e-12,4.6382110824901144e-11,ME
MesWoundHealing__adaptive.immune.response,T cells,0.5757726574500768,2.1492015893267495e-12,1.7500641513089244e-11,ME
MesWoundHealing__positive.regulation.of.cytokine.production,T cells,0.575195084485407,2.286866583598282e-12,1.81043604534864e-11,ME
MesWoundHealing__leukocyte.mediated.immunity,T cells,0.6017880184331796,1.150750791699205e-13,1.1309102608078393e-12,ME
MesWoundHealing__leukocyte.migration,T cells,0.5341505376344086,1.4064194246376182e-10,9.115008723264388e-10,ME
Proliferation__chromosome.segregation,T cells,-0.2526021505376344,0.004482494870542037,0.008085512899395447,ME
Proliferation__nuclear.chromosome.segregation,T cells,-0.20513671274961595,0.02173772231645161,0.03193428278447788,ME
Proliferation__sister.chromatid.segregation,T cells,-0.18864516129032255,0.035127665227321164,0.04907541465581633,ME
Proliferation__nuclear.division,T cells,-0.22444239631336402,0.011858663552626507,0.01871567824428846,ME
Proliferation__mRNA.processing,T cells,-0.34678341013824876,7.436460087295439e-5,1.94439552741211e-4,ME
Neural__central.nervous.system.neuron.differentiation,T cells,-0.20479262672811058,0.02196418829504633,0.03210150596968309,ME
Neural__regulation.of.postsynaptic.membrane.potential,T cells,-0.24758832565284172,0.005372748454561202,0.009468696285086444,ME
Neural__synapse.assembly,T cells,-0.40193548387096767,3.382549995289441e-6,1.0711408318416562e-5,ME
Neural__regulation.of.synapse.structure.or.activity,T cells,-0.3106175115207373,4.226145290691885e-4,9.265010829593749e-4,ME
Neural__axonogenesis,T cells,-0.3042027649769585,5.625885265568757e-4,0.0012239521379290809,ME
MesWoundHealing__cytokine.mediated.signaling.pathway,NK cells,0.43403379416282634,4.2631076800556383e-7,1.5779034919686453e-6,ME
MesWoundHealing__adaptive.immune.response,NK cells,0.4048356374807987,2.8297110082311306e-6,9.164404969839458e-6,ME
MesWoundHealing__positive.regulation.of.cytokine.production,NK cells,0.4186789554531489,1.1793141423065536e-6,4.0988357385044855e-6,ME
MesWoundHealing__leukocyte.mediated.immunity,NK cells,0.4476927803379416,1.651681080215794e-7,6.724701540878589e-7,ME
MesWoundHealing__leukocyte.migration,NK cells,0.41034101382488475,2.007264629148817e-6,6.6519816198536385e-6,ME
Proliferation__chromosome.segregation,NK cells,-0.2725960061443932,0.002101059539309493,0.004045959247994632,ME
Proliferation__nuclear.chromosome.segregation,NK cells,-0.22420276497695849,0.01195176645775614,0.01871567824428846,ME
Proliferation__sister.chromatid.segregation,NK cells,-0.20585560675883252,0.02127104076951676,0.03157420114225144,ME
Proliferation__nuclear.division,NK cells,-0.23973579109062973,0.007085754889699507,0.011809591482832513,ME
Proliferation__mRNA.processing,NK cells,-0.2618924731182795,0.0031746016356908563,0.005913473635110419,ME
Neural__central.nervous.system.neuron.differentiation,NK cells,-0.15211059907834099,0.09037327274370939,0.11296659092963673,ME
Neural__regulation.of.postsynaptic.membrane.potential,NK cells,-0.16129032258064513,0.07234374462427856,0.0928737262068441,ME
Neural__synapse.assembly,NK cells,-0.27554531490015355,0.0018697335967549913,0.0036749936212080864,ME
Neural__regulation.of.synapse.structure.or.activity,NK cells,-0.20527188940092164,0.021649304307015216,0.03193428278447788,ME
Neural__axonogenesis,NK cells,-0.21331490015360982,0.016915788612673312,0.02550793520958674,ME
MesWoundHealing__cytokine.mediated.signaling.pathway,B cells,0.6200491551459293,1.2517016216989425e-14,1.3720575468623025e-13,ME
MesWoundHealing__adaptive.immune.response,B cells,0.6907711213517664,4.925855577189752e-19,7.478608466611945e-18,ME
MesWoundHealing__positive.regulation.of.cytokine.production,B cells,0.6563195084485406,9.66940930907289e-17,1.2526280241298972e-15,ME
MesWoundHealing__leukocyte.mediated.immunity,B cells,0.6806943164362518,2.4858914170410313e-18,3.5423952692834695e-17,ME
MesWoundHealing__leukocyte.migration,B cells,0.5983533026113671,1.7195596803719912e-13,1.5808855126000563e-12,ME
Proliferation__chromosome.segregation,B cells,-0.29966205837173576,6.862043624695581e-4,0.0014704379195776246,ME
Proliferation__nuclear.chromosome.segregation,B cells,-0.24611367127496153,0.005663023496285502,0.009901605499640294,ME
Proliferation__sister.chromatid.segregation,B cells,-0.23150844854070657,0.009384195871926083,0.015195998997153033,ME
Proliferation__nuclear.division,B cells,-0.26876804915514585,0.002439882702003413,0.004605076622986574,ME
Proliferation__mRNA.processing,B cells,-0.45896159754224264,7.317740157529205e-8,3.1127700670086916e-7,ME
Neural__central.nervous.system.neuron.differentiation,B cells,-0.10947465437788016,0.22424252131357875,0.268525708295672,ME
Neural__regulation.of.postsynaptic.membrane.potential,B cells,-0.102863287250384,0.2536520506525581,0.29996196861402097,ME
Neural__synapse.assembly,B cells,-0.29325960061443923,9.031098387377977e-4,0.00187873214627936,ME
Neural__regulation.of.synapse.structure.or.activity,B cells,-0.18803686635944697,0.03573184412368568,0.04967597841585569,ME
Neural__axonogenesis,B cells,-0.19199999999999998,0.031948151619069345,0.045299617967337134,ME
MesWoundHealing__cytokine.mediated.signaling.pathway,Plasma B,-0.05377572964669738,0.5514277730620221,0.60678345684431,ME
MesWoundHealing__adaptive.immune.response,Plasma B,-0.02578187403993855,0.775336396086315,0.8184106403133325,ME
MesWoundHealing__positive.regulation.of.cytokine.production,Plasma B,-0.036645161290322574,0.6849441887521859,0.7422399003588327,ME
